"filename", "language", "pip requirements", "JSON with Comments", "Python", "JSON", "Log", "CSV", "Markdown", "comment", "blank", "total"
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\run_6_search.py", "Python", 0, 0, 94, 0, 0, 0, 0, 17, 23, 134
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\run_search_experiments.py", "Python", 0, 0, 227, 0, 0, 0, 0, 26, 43, 296
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\run_searches.py", "Python", 0, 0, 47, 0, 0, 0, 0, 10, 18, 75
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\search.py", "Python", 0, 0, 44, 0, 0, 0, 0, 11, 14, 69
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\graph\graph.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\graph\node.py", "Python", 0, 0, 60, 0, 0, 0, 0, 2, 16, 78
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\parser\graph_parser.py", "Python", 0, 0, 135, 0, 0, 0, 0, 15, 32, 182
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\problem\multigoal_graph_problem.py", "Python", 0, 0, 353, 0, 0, 0, 0, 37, 78, 468
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\problem\problem_base.py", "Python", 0, 0, 21, 0, 0, 0, 0, 1, 5, 27
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\search_algorithm\search_algorithm.py", "Python", 0, 0, 135, 0, 0, 0, 0, 14, 59, 208
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\search_algorithm\search_algorithm_base.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\src\utils\utils.py", "Python", 0, 0, 65, 0, 0, 0, 0, 5, 16, 86
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\tempCodeRunnerFile.py", "Python", 0, 0, 53, 0, 0, 0, 0, 10, 11, 74
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2A\visualize_all_graphs.py", "Python", 0, 0, 135, 0, 0, 0, 0, 20, 29, 184
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\.VSCodeCounter\2025-05-06_11-38-07\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 47, 0, 6, 53
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\.VSCodeCounter\2025-05-06_11-38-07\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 85, 0, 6, 91
